time_step	reward_avg	time
2000	21.9341	0.6442
4000	19.9495	2.0298
6000	27.2432	2.6363
8000	25.7922	4.0466
10000	44.4222	4.6532
12000	43.1087	5.9861
14000	89.6818	6.5947
16000	100.45	8.0333
18000	148.4615	8.6259
20000	161.6923	9.9726
22000	146.0	10.5708
24000	151.3077	11.951
26000	178.3333	12.5533
28000	183.4545	13.9457
30000	181.9	14.5674
32000	190.0	16.0347
34000	191.9	16.6668
36000	186.0909	18.0848
38000	178.4545	18.6974
40000	197.0	20.1213
42000	181.0833	20.7315
44000	186.6	22.1328
46000	199.8	22.7448
