time_step	reward_avg	time
4000	-38.4315	1.6289
8000	-39.6129	3.4268
12000	-38.5855	5.0195
16000	-37.8142	6.8181
20000	-37.0972	8.4305
24000	-31.8049	10.2293
28000	-31.7283	11.8413
32000	-32.5809	13.6451
36000	-31.5746	15.2517
40000	-30.6716	17.055
44000	-26.1899	18.6416
48000	-26.3469	20.4551
52000	-25.7492	22.0372
56000	-23.6532	23.8337
60000	-25.0433	25.4256
64000	-20.8098	27.2291
68000	-21.1369	28.8225
72000	-20.8789	30.6173
76000	-20.4354	32.2056
80000	-19.888	34.014
84000	-16.7024	35.6091
88000	-16.2598	37.4073
92000	-16.2723	39.0011
96000	-16.24	40.8026
100000	-16.6503	42.4051
104000	-12.9606	44.2111
108000	-12.8962	45.8162
112000	-12.5503	47.6338
116000	-12.6736	49.2379
120000	-12.4384	51.0754
124000	-9.1327	52.6866
128000	-8.798	54.5028
132000	-8.9841	56.1075
136000	-8.6925	57.9052
140000	-9.3723	59.5215
144000	-6.157	61.3377
148000	-6.0542	62.9358
152000	-6.2884	64.7475
156000	-6.199	66.3359
160000	-6.0363	68.1518
164000	-4.1016	69.7455
168000	-4.0857	71.5553
172000	-3.9932	73.1556
176000	-4.0305	74.9683
180000	-3.9361	76.5661
184000	-2.4418	78.3511
188000	-2.3346	79.9442
192000	-2.2231	81.739
196000	-2.4577	83.3395
200000	-2.3896	85.1612
204000	-1.1502	86.7676
208000	-1.071	88.5564
212000	-1.0775	90.1543
216000	-1.0668	91.9508
220000	-1.1028	93.5507
224000	-1.0741	95.3408
228000	-1.0579	96.9538
232000	-1.0069	98.7803
236000	-1.0504	100.3684
240000	-1.0581	102.1792
244000	-1.0283	103.7724
248000	-1.0067	105.5792
252000	-1.0026	107.1785
256000	-1.0198	108.988
260000	-1.047	110.5818
264000	-1.0243	112.3988
268000	-1.0062	113.9912
272000	-0.9865	115.8151
276000	-0.9968	117.4285
280000	-1.0155	119.2482
284000	-0.9924	120.8431
288000	-1.0105	122.6427
292000	-0.9743	124.2591
296000	-1.0142	126.0753
300000	-1.0079	127.6647
304000	-1.033	129.4754
308000	-1.0143	131.0741
312000	-1.0212	132.8619
316000	-1.0169	134.4722
320000	-1.0031	136.2927
324000	-1.0102	137.9118
328000	-1.0169	139.7183
332000	-1.0031	141.3086
336000	-0.9811	143.1167
340000	-1.0099	144.6986
344000	-1.0053	146.4977
348000	-0.9983	148.0915
352000	-1.0001	149.9192
356000	-1.0122	151.5301
360000	-1.0083	153.3301
364000	-1.0211	154.9286
368000	-0.984	156.7271
372000	-0.982	158.3346
376000	-0.9704	160.1403
380000	-0.9837	161.7372
384000	-0.9794	163.5558
388000	-1.0138	165.1575
392000	-1.0031	166.9679
396000	-1.0378	168.5551
400000	-1.0032	170.3349
404000	-1.0562	171.9395
408000	-0.9726	173.7262
412000	-1.0009	175.3266
416000	-0.9743	177.1489
420000	-0.9805	178.7439
424000	-1.0329	180.5421
428000	-1.0095	182.1312
432000	-0.96	183.9237
436000	-0.9829	185.5443
440000	-1.0008	187.3496
444000	-1.0004	188.9803
448000	-1.0236	190.7847
452000	-1.0095	192.3912
456000	-0.9795	194.1888
460000	-0.9954	195.8001
464000	-1.0333	197.6049
468000	-1.0155	199.2
472000	-1.022	200.9959
476000	-1.0032	202.6088
480000	-1.0203	204.4052
484000	-0.9871	206.0043
488000	-0.9865	207.7984
492000	-0.9855	209.3979
496000	-0.987	211.2026
500000	-1.034	212.8047
504000	-0.9877	214.63
508000	-0.9908	216.2249
512000	-0.9773	218.0359
516000	-1.0267	219.6183
520000	-1.0044	221.4042
524000	-1.005	223.001
528000	-1.0167	224.7817
532000	-1.0176	226.386
536000	-1.0415	228.2124
540000	-1.0271	229.8074
544000	-1.0092	231.5974
548000	-0.9908	233.1896
552000	-0.9936	234.9919
556000	-0.9737	236.5945
560000	-1.0047	238.3937
564000	-0.9861	239.9867
568000	-1.0166	241.8278
572000	-0.9906	243.4361
576000	-1.007	245.2319
580000	-0.9942	246.8175
584000	-0.9966	248.6199
588000	-0.999	250.2102
592000	-1.0094	252.0037
596000	-1.0045	253.6166
600000	-1.0354	255.4233
604000	-0.9665	257.0264
608000	-1.0488	258.8314
612000	-1.0272	260.4286
616000	-1.0061	262.2357
620000	-1.0047	263.8436
624000	-1.0051	265.6515
628000	-1.0552	267.2637
632000	-1.0362	269.0677
636000	-0.9995	270.6641
640000	-1.0393	272.4615
644000	-0.989	274.0499
648000	-0.9619	275.848
652000	-1.0359	277.4532
656000	-0.9723	279.2606
660000	-0.9943	280.8478
664000	-0.9975	282.6521
668000	-1.0271	284.2467
672000	-1.0119	286.0787
676000	-1.0335	287.6814
680000	-0.9621	289.4856
684000	-1.0119	291.081
688000	-1.0041	292.8941
692000	-1.0425	294.499
696000	-1.0254	296.308
700000	-0.996	297.9121
704000	-1.0212	299.7156
